Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,15.75,16.0,15.5,15.5,15.5,12544500
2000-01-05,14.75,15.0,14.0,14.5,14.5,12549800
2000-01-06,14.5,14.5,13.75,14.0,14.0,6348900
2000-01-07,14.0,14.75,13.75,14.5,14.5,5095300
2000-01-10,15.0,15.5,14.25,14.5,14.5,10684700
2000-01-11,14.5,14.75,14.0,14.0,14.0,4222700
2000-01-12,13.75,14.25,13.75,14.25,14.25,2827700
2000-01-13,14.0,14.5,14.0,14.0,14.0,1833300
2000-01-14,14.25,15.0,14.25,14.75,14.75,7936800
2000-01-18,14.5,15.0,14.5,15.0,15.0,5741700
2000-01-19,14.5,15.25,14.5,15.0,15.0,8145400
2000-01-20,15.25,15.5,14.75,14.75,14.75,13959800
2000-01-21,14.75,14.75,14.0,14.5,14.5,8200600
2000-01-24,14.5,14.5,14.0,14.5,14.5,3202700
2000-01-25,14.0,14.5,14.0,14.25,14.25,2903500
2000-01-26,14.25,14.5,14.0,14.0,14.0,1175000
2000-01-27,14.0,14.5,13.75,14.25,14.25,1842300
2000-01-28,14.25,14.25,14.0,14.25,14.25,1480800
2000-01-31,14.0,14.25,14.0,14.25,14.25,975000
2000-02-01,14.25,14.5,14.0,14.0,14.0,2521700
2000-02-02,14.0,14.25,13.75,13.75,13.75,4015700
2000-02-03,13.75,14.0,13.25,13.5,13.5,3926000
2000-02-04,13.5,13.75,13.25,13.75,13.75,2298800
2000-02-07,13.75,14.0,13.5,13.5,13.5,1242200
2000-02-08,13.75,13.75,13.25,13.25,13.25,2993300
2000-02-09,13.5,13.5,12.75,13.0,13.0,4366200
2000-02-10,12.75,13.0,12.5,12.5,12.5,3902600
2000-02-11,12.75,13.0,12.25,12.5,12.5,3409200
2000-02-14,12.5,12.5,12.0,12.25,12.25,2054900
2000-02-15,12.5,12.5,12.0,12.25,12.25,4001900
2000-02-16,12.25,12.5,12.0,12.25,12.25,3333400
2000-02-17,12.25,12.5,11.75,11.75,11.75,6544100
2000-02-18,11.75,12.0,11.5,11.5,11.5,4348400
2000-02-22,11.25,11.25,10.5,10.5,10.5,5785500
2000-02-23,10.5,11.0,10.25,10.5,10.5,4482600
2000-02-24,10.75,11.0,10.5,10.5,10.5,3132000
2000-02-25,10.5,11.0,10.5,10.75,10.75,2759700
2000-02-28,10.75,10.75,10.0,10.0,10.0,4073000
2000-02-29,10.25,10.25,9.600000381469727,9.800000190734863,9.800000190734863,7725300
2000-03-01,9.800000190734863,9.899999618530273,9.199999809265137,9.800000190734863,9.800000190734863,3709500
2000-03-02,9.699999809265137,10.5,9.600000381469727,10.5,10.5,5254300
2000-03-03,10.5,10.5,9.800000190734863,9.800000190734863,9.800000190734863,4190100
2000-03-06,9.5,9.699999809265137,9.100000381469727,9.300000190734863,9.300000190734863,4912100
2000-03-07,9.100000381469727,9.300000190734863,8.899999618530273,9.0,9.0,5122700
2000-03-08,8.699999809265137,8.800000190734863,8.399999618530273,8.5,8.5,10184100
2000-03-09,8.699999809265137,9.199999809265137,8.600000381469727,9.0,9.0,10073000
2000-03-10,9.199999809265137,9.600000381469727,9.0,9.399999618530273,9.399999618530273,9199400
2000-03-13,9.199999809265137,9.300000190734863,8.899999618530273,9.0,9.0,4769600
2000-03-14,9.0,9.399999618530273,8.899999618530273,9.399999618530273,9.399999618530273,3620800
2000-03-15,9.199999809265137,9.399999618530273,8.899999618530273,9.0,9.0,5278800
2000-03-16,9.100000381469727,9.199999809265137,8.800000190734863,9.0,9.0,4557700
2000-03-17,9.300000190734863,9.399999618530273,8.899999618530273,9.0,9.0,6647700
2000-03-20,9.0,9.0,8.800000190734863,9.0,9.0,1463500
2000-03-21,8.899999618530273,9.399999618530273,8.899999618530273,9.0,9.0,8757500
2000-03-22,9.0,9.100000381469727,8.800000190734863,8.800000190734863,8.800000190734863,4276300
2000-03-23,8.899999618530273,9.399999618530273,8.899999618530273,9.199999809265137,9.199999809265137,12735200
2000-03-24,9.399999618530273,9.699999809265137,9.199999809265137,9.399999618530273,9.399999618530273,15480200
2000-03-27,10.0,10.25,9.800000190734863,10.0,10.0,17363500
2000-03-28,10.25,10.5,10.0,10.5,10.5,12501000
2000-03-29,11.0,11.5,10.75,11.0,11.0,23858700
2000-03-30,10.75,11.0,10.0,10.25,10.25,13139000
2000-03-31,10.0,10.5,10.0,10.25,10.25,3995300
2000-04-03,10.25,10.75,10.25,10.75,10.75,4311700
2000-04-04,10.5,11.0,10.25,11.0,11.0,8282000
2000-04-05,11.0,11.5,10.75,11.5,11.5,20325600
2000-04-06,11.5,11.5,11.5,11.5,11.5,0
2000-04-07,11.75,12.0,11.0,11.25,11.25,20211500
2000-04-10,11.5,11.75,11.25,11.25,11.25,12101900
2000-04-11,11.25,11.25,11.0,11.0,11.0,1827400
2000-04-12,11.0,11.75,11.0,11.75,11.75,9718100
2000-04-13,11.75,11.75,11.75,11.75,11.75,0
2000-04-14,11.75,11.75,11.75,11.75,11.75,0
2000-04-17,10.5,11.0,10.25,11.0,11.0,11030200
2000-04-18,11.25,11.25,10.5,10.5,10.5,9139000
2000-04-19,10.75,11.0,10.5,10.75,10.75,3630400
2000-04-20,10.75,11.0,10.5,10.5,10.5,2090100
2000-04-24,11.0,11.0,10.75,10.75,10.75,1687800
2000-04-25,10.75,10.75,10.5,10.75,10.75,2398300
2000-04-26,10.75,11.0,10.5,10.75,10.75,2702500
2000-04-27,10.75,10.75,10.5,10.75,10.75,1222400
2000-04-28,10.75,10.75,10.25,10.5,10.5,3634400
2000-05-01,10.5,10.5,10.5,10.5,10.5,0
2000-05-02,10.5,10.75,10.25,10.25,10.25,3004500
2000-05-03,10.5,10.5,10.0,10.25,10.25,7150400
2000-05-04,10.0,10.25,10.0,10.25,10.25,1907700
2000-05-05,10.25,10.25,10.25,10.25,10.25,0
2000-05-08,10.0,10.0,9.600000381469727,9.600000381469727,9.600000381469727,5602000
2000-05-09,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2000-05-10,9.0,9.0,8.699999809265137,8.899999618530273,8.899999618530273,8945900
2000-05-11,8.699999809265137,8.899999618530273,8.5,8.600000381469727,8.600000381469727,6514600
2000-05-12,8.800000190734863,8.899999618530273,8.699999809265137,8.800000190734863,8.800000190734863,5931400
2000-05-15,8.800000190734863,8.899999618530273,8.5,8.600000381469727,8.600000381469727,3597000
2000-05-16,8.699999809265137,8.899999618530273,8.600000381469727,8.899999618530273,8.899999618530273,2405100
2000-05-17,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0
2000-05-18,8.600000381469727,8.699999809265137,8.600000381469727,8.600000381469727,8.600000381469727,3612500
2000-05-19,8.600000381469727,8.699999809265137,8.600000381469727,8.699999809265137,8.699999809265137,4173400
2000-05-22,8.699999809265137,8.699999809265137,8.300000190734863,8.300000190734863,8.300000190734863,4524800
2000-05-23,8.300000190734863,8.300000190734863,7.900000095367432,8.0,8.0,7536300
2000-05-24,7.900000095367432,7.900000095367432,7.599999904632568,7.699999809265137,7.699999809265137,3851900
2000-05-25,7.800000190734863,7.900000095367432,7.199999809265137,7.199999809265137,7.199999809265137,10881000
2000-05-26,7.0,7.099999904632568,6.699999809265137,7.0,7.0,12416600
2000-05-30,7.0,7.0,7.0,7.0,7.0,0
2000-05-31,7.099999904632568,7.400000095367432,7.099999904632568,7.199999809265137,7.199999809265137,7239600
2000-06-01,7.300000190734863,7.400000095367432,7.099999904632568,7.300000190734863,7.300000190734863,3976300
2000-06-02,7.5,7.800000190734863,7.400000095367432,7.800000190734863,7.800000190734863,12716500
2000-06-05,8.0,8.199999809265137,7.800000190734863,7.900000095367432,7.900000095367432,6990800
2000-06-06,7.800000190734863,7.800000190734863,7.599999904632568,7.699999809265137,7.699999809265137,4437600
2000-06-07,7.599999904632568,7.699999809265137,7.5,7.5,7.5,4313900
2000-06-08,7.599999904632568,7.599999904632568,7.400000095367432,7.599999904632568,7.599999904632568,2168100
2000-06-09,7.599999904632568,7.599999904632568,7.300000190734863,7.400000095367432,7.400000095367432,3205400
2000-06-12,7.400000095367432,7.400000095367432,7.199999809265137,7.300000190734863,7.300000190734863,1066700
2000-06-13,7.199999809265137,7.300000190734863,7.099999904632568,7.300000190734863,7.300000190734863,1705500
2000-06-14,7.300000190734863,7.400000095367432,7.099999904632568,7.400000095367432,7.400000095367432,1497800
2000-06-15,7.400000095367432,8.300000190734863,7.300000190734863,7.900000095367432,7.900000095367432,25933600
2000-06-16,8.0,8.100000381469727,7.699999809265137,7.699999809265137,7.699999809265137,6346900
2000-06-19,7.5,7.800000190734863,7.5,7.699999809265137,7.699999809265137,2997800
2000-06-20,7.800000190734863,7.800000190734863,7.599999904632568,7.599999904632568,7.599999904632568,2333300
2000-06-21,7.599999904632568,7.599999904632568,7.5,7.599999904632568,7.599999904632568,1612600
2000-06-22,8.0,8.100000381469727,7.5,7.5,7.5,10404900
2000-06-23,7.5,7.599999904632568,7.400000095367432,7.5,7.5,2720800
2000-06-26,7.5,7.5,7.300000190734863,7.5,7.5,2854600
2000-06-27,7.5,7.599999904632568,7.400000095367432,7.599999904632568,7.599999904632568,1598200
2000-06-28,7.5,7.599999904632568,7.5,7.5,7.5,1361500
2000-06-29,7.5,7.5,7.0,7.099999904632568,7.099999904632568,8924900
2000-06-30,7.0,7.099999904632568,6.900000095367432,7.099999904632568,7.099999904632568,4922500
2000-07-03,7.099999904632568,7.099999904632568,6.699999809265137,6.800000190734863,6.800000190734863,5280800
2000-07-05,6.900000095367432,7.0,6.800000190734863,7.0,7.0,5761000
2000-07-06,6.800000190734863,6.900000095367432,6.699999809265137,6.900000095367432,6.900000095367432,1941700
2000-07-07,6.800000190734863,7.0,6.800000190734863,6.900000095367432,6.900000095367432,2316200
2000-07-10,7.0,7.099999904632568,6.900000095367432,6.900000095367432,6.900000095367432,3556600
2000-07-11,6.900000095367432,7.0,6.900000095367432,6.900000095367432,6.900000095367432,1233900
2000-07-12,6.900000095367432,6.900000095367432,6.800000190734863,6.800000190734863,6.800000190734863,1037500
2000-07-13,6.800000190734863,6.800000190734863,6.699999809265137,6.699999809265137,6.699999809265137,1440300
2000-07-14,6.699999809265137,6.800000190734863,6.599999904632568,6.800000190734863,6.800000190734863,1741300
2000-07-17,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,0
